name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Cartago, costa rica",2009-01-01,24.4,19.1,21.6,24.4,19.1,21.6,15.9,70.4,1.362,100,4.17,rain,,,,29.5,103.1,1011.1,47.6,11.6,,,,,2009-01-01T05:51:38,2009-01-01T17:25:23,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"78767099999,78764099999,78762099999"
"Cartago, costa rica",2009-01-02,26.8,19.1,22.3,27.6,19.1,22.4,15.8,67.2,0,0,0,,,,,25.3,96.3,1010.3,21.6,12.2,,,,,2009-01-02T05:52:01,2009-01-02T17:25:56,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78767099999,78764099999,78762099999"
"Cartago, costa rica",2009-01-03,27.2,19.1,22.9,27.8,19.1,23,15.2,62.1,0,0,0,,,,,24.1,84.4,1009.9,22.4,12.1,,,,,2009-01-03T05:52:24,2009-01-03T17:26:28,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78767099999,78764099999,78762099999"
"Cartago, costa rica",2009-01-04,28.2,20.1,23.5,28.6,20.1,23.6,16.4,65,0,0,0,,,,,27.7,86,1011.2,23.5,12.4,,,,,2009-01-04T05:52:47,2009-01-04T17:27:00,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78767099999,78764099999,78762099999"
"Cartago, costa rica",2009-01-05,26.3,19.1,22.8,26.3,19.1,22.8,17.5,72.6,1.138,100,4.17,rain,,,,24.5,90,1011.7,60,11.3,,,,,2009-01-05T05:53:08,2009-01-05T17:27:32,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"78767099999,78764099999,78762099999"
"Cartago, costa rica",2009-01-06,27.9,18.1,22.7,29,18.1,22.9,18,75.7,0,0,0,,,,,20.5,76.3,1010.4,60,11.6,,,,,2009-01-06T05:53:29,2009-01-06T17:28:04,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78767099999,78764099999,78762099999"
"Cartago, costa rica",2009-01-07,27.2,18.1,22.2,28.2,18.1,22.3,17.4,75,10.556,100,8.33,rain,,,,18.9,83.8,1010.4,74,11.2,,,,,2009-01-07T05:53:49,2009-01-07T17:28:36,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78767099999,78764099999,78762099999"
"Cartago, costa rica",2009-01-08,29.6,19.1,21.9,34.1,19.1,22.2,17.3,76,0,0,0,,,,,17.9,90.3,1010.5,47.7,12.9,,,,,2009-01-08T05:54:08,2009-01-08T17:29:08,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78767099999,78764099999,78762099999"
"Cartago, costa rica",2009-01-09,27.3,20.5,23.3,27.4,20.5,23.3,15,60.3,0,0,0,,,,,26.7,83.2,1011.8,41.2,12.1,,,,,2009-01-09T05:54:26,2009-01-09T17:29:40,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78767099999,78764099999,78762099999"
"Cartago, costa rica",2009-01-10,27.9,20.1,22.9,28,20.1,23,13.3,55.2,0,0,0,,,,,26.7,88.5,1012.1,44.3,12,,,,,2009-01-10T05:54:43,2009-01-10T17:30:11,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78767099999,78764099999,78762099999"
"Cartago, costa rica",2009-01-11,26.4,19.1,22.5,26.4,19.1,22.5,15.8,66.6,0,0,0,,,,,25.9,90.7,1011.1,58.6,11.9,,,,,2009-01-11T05:54:59,2009-01-11T17:30:42,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78767099999,78764099999,78762099999"
"Cartago, costa rica",2009-01-12,26.9,19.5,22.5,27.5,19.5,22.5,15.3,64.3,0,0,0,,,,,27.3,90.9,1010.4,72.8,11.3,,,,,2009-01-12T05:55:15,2009-01-12T17:31:13,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78767099999,78764099999,78762099999"
"Cartago, costa rica",2009-01-13,26.6,17.1,22.1,26.6,17.1,22.1,15.6,67,1.362,100,4.17,rain,,,,29.5,90.7,1011.4,69.4,12.2,,,,,2009-01-13T05:55:29,2009-01-13T17:31:43,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"78767099999,78764099999,78762099999"
"Cartago, costa rica",2009-01-14,26.8,19.1,22.4,27.4,19.1,22.4,15.4,65.2,0,0,0,,,,,24.6,81.2,1013,47.1,11.3,,,,,2009-01-14T05:55:43,2009-01-14T17:32:14,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78767099999,78764099999,78762099999"
"Cartago, costa rica",2009-01-15,24.4,19.1,21.4,24.4,19.1,21.4,15.1,67.7,0,0,0,,,,,31.3,99.7,1012.9,53.7,11.9,,,,,2009-01-15T05:55:56,2009-01-15T17:32:43,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78767099999,78764099999,78762099999"
"Cartago, costa rica",2009-01-16,23.1,18.1,20.9,23.1,18.1,20.9,14.2,65.8,0,0,0,,,,,27.6,98.4,1014.1,79.1,11.6,,,,,2009-01-16T05:56:07,2009-01-16T17:33:13,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78767099999,78764099999,78762099999"
"Cartago, costa rica",2009-01-17,24.8,18.5,21.4,24.8,18.5,21.4,14.1,63.2,0,0,0,,,,,33.5,89.8,1014.3,74.6,11.4,,,,,2009-01-17T05:56:18,2009-01-17T17:33:42,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78767099999,78764099999,78762099999"
"Cartago, costa rica",2009-01-18,29.1,18.5,22,28.1,18.5,21.9,13.7,60.1,0,0,0,,,,,30.3,102.1,1014.3,31.9,12.6,,,,,2009-01-18T05:56:28,2009-01-18T17:34:10,0.77,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"78767099999,78764099999,78762099999"
"Cartago, costa rica",2009-01-19,25.9,18.5,21.7,25.9,18.5,21.7,15.6,68.4,0.223,100,4.17,rain,,,,27.7,101.2,1014,50,12.1,,,,,2009-01-19T05:56:37,2009-01-19T17:34:39,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"78767099999,78764099999,78762099999"
"Cartago, costa rica",2009-01-20,26.4,17.1,21.6,26.4,17.1,21.6,16.5,73.1,0,0,0,,,,,19.3,57,1013.5,75.9,12.5,,,,,2009-01-20T05:56:44,2009-01-20T17:35:06,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78767099999,78764099999,78762099999"
"Cartago, costa rica",2009-01-21,23.4,17.9,20.1,23.4,17.9,20.1,14,68.1,1.138,100,4.17,rain,,,,26,111.2,1014.3,86.7,12.3,,,,,2009-01-21T05:56:51,2009-01-21T17:35:33,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"78767099999,78764099999,78762099999"
"Cartago, costa rica",2009-01-22,23.6,18.1,20.7,23.6,18.1,20.7,15.7,73.3,1.986,100,4.17,rain,,,,28.8,98.5,1014.5,53.9,11.5,,,,,2009-01-22T05:56:57,2009-01-22T17:36:00,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"78767099999,78764099999,78762099999"
"Cartago, costa rica",2009-01-23,26.2,20.1,22.7,26.2,20.1,22.7,15.9,65.9,0.223,100,4.17,rain,,,,29,92.6,1013,29.3,12.5,,,,,2009-01-23T05:57:01,2009-01-23T17:36:26,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"78767099999,78764099999,78762099999"
"Cartago, costa rica",2009-01-24,26.9,18.5,22.8,27.6,18.5,22.9,15.9,65.4,0.112,100,4.17,rain,,,,24.1,86.7,1012.3,26.3,12,,,,,2009-01-24T05:57:05,2009-01-24T17:36:52,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"78767099999,78764099999,78762099999"
"Cartago, costa rica",2009-01-25,24.5,19.1,21.3,24.5,19.1,21.3,17,76.6,2.862,100,8.33,rain,,,,22.3,102.2,1012,69.5,11.4,,,,,2009-01-25T05:57:08,2009-01-25T17:37:17,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78767099999,78764099999,78762099999"
"Cartago, costa rica",2009-01-26,26.6,19.5,22.2,26.6,19.5,22.2,15.6,66.5,0.446,100,4.17,rain,,,,28.3,92.1,1011.3,33.8,12.5,,,,,2009-01-26T05:57:09,2009-01-26T17:37:41,0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"78767099999,78764099999,78762099999"
"Cartago, costa rica",2009-01-27,28.1,18.5,22.9,28.7,18.5,22.9,15.2,62.9,0,0,0,,,,,25.9,84.3,1011.4,23,11.9,,,,,2009-01-27T05:57:10,2009-01-27T17:38:05,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78767099999,78764099999,78762099999"
"Cartago, costa rica",2009-01-28,26.1,19.5,22.7,26.1,19.5,22.7,16.4,68.3,11.406,100,4.17,rain,,,,26.1,108.9,1010.6,38.7,12.4,,,,,2009-01-28T05:57:09,2009-01-28T17:38:28,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"78767099999,78764099999,78762099999"
"Cartago, costa rica",2009-01-29,27.5,19.5,23.1,28.3,19.5,23.3,16.9,68.8,0,0,0,,,,,24.1,90.2,1012,55.1,11.8,,,,,2009-01-29T05:57:08,2009-01-29T17:38:51,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78767099999,78764099999,78762099999"
"Cartago, costa rica",2009-01-30,28.5,19.5,23.2,28.9,19.5,23.3,16.3,66.2,0,0,0,,,,,29.5,85.6,1012.7,36.6,12.3,,,,,2009-01-30T05:57:05,2009-01-30T17:39:13,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78767099999,78764099999,78762099999"
"Cartago, costa rica",2009-01-31,25.8,18.1,22,25.8,18.1,22,15.7,67.8,0,0,0,,,,,27.7,87.5,1012.4,37.1,12.6,,,,,2009-01-31T05:57:02,2009-01-31T17:39:34,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78767099999,78764099999,78762099999"
