;;Lluvia (mm);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Año;Mes;Día 1;Día 2;Día 3;Día 4;Día 5;Día 6;Día 7;Día 8;Día 9;Día 10;Día 11;Día 12;Día 13;Día 14;Día 15;Día 16;Día 17;Día 18;Día 19;Día 20;Día 21;Día 22;Día 23;Día 24;Día 25;Día 26;Día 27;Día 28;Día 29;Día 30;Día 31
2011;1;0.0;0.0;0.0;2.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.5;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2011;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;8.4;1.7;-;-;-
2011;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2011;4;0.0;0.0;0.0;0.4;0.0;0.0;1.5;3.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.3;0.6;0.0;0.0;0.0;-
2011;5;0.2;0.0;1.2;12.3;3.3;2.4;19.1;3.5;4.0;11.2;26.8;2.1;0.0;0.0;0.0;0.3;0.0;0.0;0.0;6.8;52.0;4.7;0.0;13.5;9.2;0.0;8.2;0.0;8.3;5.1;7.2
2011;6;2.4;5.4;5.5;16.4;11.3;0.0;2.7;0.0;0.0;0.0;0.0;0.4;2.0;12.3;25.2;7.3;16.0;0.0;0.0;0.0;5.7;4.5;25.1;2.2;0.0;0.0;0.0;24.3;19.0;15.3;-
2011;7;1.6;39.6;3.1;0.0;0.0;0.0;0.0;0.0;0.0;45.3;10.5;8.0;12.5;8.5;6.0;25.8;0.0;0.0;0.0;1.0;0.0;0.3;0.0;3.1;0.0;0.0;0.5;13.4;25.5;42.2;0.0
2011;8;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;9.5;13.4;2.7;0.0;1.6;24.2;5.0;3.0;0.0;6.6;45.4;21.0;5.3;4.0;30.0;11.3;0.0;0.0;0.0
2011;9;42.0;27.8;0.9;0.5;0.0;0.4;0.0;0.0;0.0;0.0;3.9;1.8;0.0;0.0;6.3;25.5;16.1;5.6;20.8;0.0;0.0;0.6;0.0;1.5;46.6;1.5;1.0;2.3;2.9;55.0;-
2011;10;32.8;0.8;0.3;14.6;0.0;3.7;6.0;13.7;46.2;55.5;65.0;17.1;47.8;18.5;25.1;43.7;39.7;11.1;18.7;23.0;17.5;23.3;1.5;0.0;4.8;16.0;33.0;0.0;26.6;31.0;2.0
2011;11;0.0;16.1;32.6;0.0;0.0;0.0;3.6;12.1;1.9;0.0;22.2;0.6;0.0;1.3;31.4;0.0;0.0;10.2;0.0;5.2;0.0;26.3;16.5;37.6;4.4;4.0;1.9;1.0;2.0;9.0;-
