;;Lluvia (mm);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Año;Mes;Día 1;Día 2;Día 3;Día 4;Día 5;Día 6;Día 7;Día 8;Día 9;Día 10;Día 11;Día 12;Día 13;Día 14;Día 15;Día 16;Día 17;Día 18;Día 19;Día 20;Día 21;Día 22;Día 23;Día 24;Día 25;Día 26;Día 27;Día 28;Día 29;Día 30;Día 31
2010;1;0.1;2.2;0;0;0.8;4.7;0.8;0;0;2.4;2.3;1.7;2.7;1;0;0;0;0;0;0;0;0;0;0;1.4;0.1;0;0;0.6;0;0
2010;2;0;0.4;0;0;0;0;0;1.4;0;0;0;0;0.5;0;0;0.5;0.9;9.6;2.7;0;0;2.2;0.1;0.9;12.3;0.4;0;2.7;-99;-99;-99
2010;3;1.5;0;3;1.8;0.5;0;0.2;0;0;0;0;0;0;0;0;0;0;0;1.6;0;0.4;2.2;2.4;0;0;0;0;0;0;0.1;0.1
2010;4;0;0;0;0;0;0.4;0;0;0.1;0.7;0.8;0.2;0;0;1;0.7;1.7;0;0;0;0;0;0;0;0.5;0.1;0;22.5;9.5;38.1;-99
2010;5;10.7;3.3;0.5;0;0.1;1.1;0;0;0;0.8;0.4;0;0.1;2.6;0;1.5;2.9;0;0.2;4;8.8;13.4;32.7;2.8;0.2;1;0.6;0;0;3.4;0
2010;6;2.5;1.4;5.1;0;0.4;13.8;0.1;11.1;3.7;0.9;1.4;8.6;6.6;25.6;24.1;11.7;0.6;7.5;6.1;67.7;2.2;0;4;16.2;14.5;0.1;1.1;7.9;4.4;0;-99
2010;7;0;10.4;42.6;1.2;0;20.7;10.4;0.1;0.1;4;2.6;1.2;4.8;3.1;3.6;4;0.6;2.5;17;49.1;0;0.1;0;0;1.4;0;4.7;0.3;0.5;0;0.1
2010;8;0.2;0.6;0;0;21.5;22.6;8.3;0;6.6;0;3;1.7;2.7;24.9;3.7;0.2;17.2;10.2;18.9;17.9;29;11.5;4.4;4.7;0.3;44.9;30.6;15.4;1.9;0;3.8
2010;9;20.7;15;0.7;16.1;34.7;19.2;2.2;0;23.5;39.9;16;21.5;9;12.2;7.2;0;0;14.6;6.2;14.4;8.4;12.6;2.5;14;0.7;5.3;26.7;23.1;6;8.1;-99
2010;10;15.4;20.9;25.3;0;0;0.1;0;0.2;0.1;0;0.2;12.6;0;0.5;8.2;0.3;1;0;21.2;11.5;1.7;2.7;1.2;25.2;0.1;5.3;0;0;1.6;0;0
2010;11;15.1;8.7;106.4;17.1;29.2;1.4;4.1;0;0.2;0.1;0.1;0.9;1.7;0;0;0.2;0;0;0;0.5;9.9;2.1;1.8;0.4;1.7;0;0.3;0.3;1.1;10.6;-99
2010;12;41.2;5.9;0;0;0;0.1;1.9;0;2.1;0.6;0.4;0.7;0.6;0.1;0.4;0;0.2;0;0;0.2;0;0;2.1;3.7;2;10.8;6.5;4.8;4.7;4.3;2
2011;1;0;23;3.3;1.1;0.6;0;0;0;0.2;0.7;14;11.1;6;6.4;1.9;0.7;0.1;0;0;0;0;0;0;0;0;0;0;0.3;0.9;0;0
2011;2;0.4;0;0.1;0.4;0;0;0;0;0;0;0;1.9;5.1;1.5;0.8;0.1;0;0;0;0;0;0;0;0;0;0;0.1;3.4;-99;-99;-99
2011;3;9.2;0.3;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;1.1;3.3;0;0;0;0.7;0.1;0;0;0;0;0;0;0;0
2011;4;0;0;0;0;0.4;1.3;0.1;0.1;0.4;0.5;0;0;0;0;0.3;0.1;0;0;0;0;0;0;0;0;0;0;0;0.1;0.1;0;-99
2011;5;0.2;0;0.6;0.4;10.4;4.1;0.9;13;0.1;1;1.3;8.2;1;0.2;0;0;0;9.1;0;0;0;35.7;2.5;1.2;0;9.3;0;2.6;2.4;2.6;6.6
2011;6;1.9;8.3;25.7;23.8;8.9;0;0;14.6;0;0;0;0;0.1;4.2;5.6;6.2;1.9;6;0;13.5;2.6;0.6;0.5;54.1;6.8;0.1;0;0;5.6;10.2;-99
2011;7;5;0.8;2.5;23.9;0;0.4;0;0;0;0;21.7;10.2;0.6;2.8;17.2;12.5;27.8;0;0;0;2.6;1.3;3.3;0;0;0;0.2;1;0.4;27.1;33.5
