;;Lluvia (mm);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Año;Mes;Día 1;Día 2;Día 3;Día 4;Día 5;Día 6;Día 7;Día 8;Día 9;Día 10;Día 11;Día 12;Día 13;Día 14;Día 15;Día 16;Día 17;Día 18;Día 19;Día 20;Día 21;Día 22;Día 23;Día 24;Día 25;Día 26;Día 27;Día 28;Día 29;Día 30;Día 31
2013;11;3.2;11;0.2;0;0.4;0.2;2.2;16.4;6.2;0.8;0;3.8;5.8;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;62.6;1.2;0;-
2013;12;0;0;0.4;0.2;0;0;0;0;0;0;0;2.4;0;0;2.4;0.4;0.2;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;1;0;0;0.2;0;0.2;0.2;0.2;0;0;0;0;0;0.2;0;0;1;0.6;0.2;8;0;6.2;0;0;0;0;0;0;0.2;0;0;1.2
2014;2;0;0.2;0;0;0;0;0;0.2;0.2;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;-
2014;3;0;0.2;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
2014;4;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;2.8;0;0;0;0.2;0;0;0.8;0.4;0;0;4.6;0.4;14.4;2.4;0.2;-
2014;5;1.8;3.8;0;0.2;0;1.6;14.6;20.4;0.2;35.2;3.8;0.2;1.8;0.8;0.2;0;0;0;0;0;0;1.2;21.2;11.6;0;0.2;0;4;17.2;45.4;15.4
2014;6;0.2;0;0;21.6;10.2;7.8;1.2;0.2;2.8;0.2;0;13;1.6;0.2;0;2.2;16;0;8.2;0.2;0.2;0;5.8;8.4;9.4;6.4;0.6;0;0;0;-
2014;7;0.4;1.2;0.2;0;0;1.8;0.2;0;4.8;1.2;5;5.8;8.6;0.2;1;0.2;8.2;0;0;0;0.8;1;1.4;0;0.2;0.2;1.8;1.2;0.2;1;0
2014;8;0.4;0;0.8;12;0;0;0;16.4;0.2;0;0;1.2;0;0;1.4;0.2;1.6;3.4;4.4;9.6;3.4;0.2;11.4;0.2;0.4;0.2;10.2;25.2;21.2;11.2;0
2014;9;0;0;11.2;0.4;9.2;11.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-
2014;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;11;0;0;0;13.2;4.4;10.8;0.2;0.4;6.8;0.4;0.2;0;1;20.4;1;0;0;0;0;0;0.4;0;0;0;15;1.8;9;0;0.2;0.2;-
2014;12;0;5.2;1.2;6.4;5.4;3.4;2.8;0;3.8;0.2;2.6;15.2;17.6;12.2;0.2;2;3.6;1.4;0;0;0;0;0;0.2;0;0;0;0;0;3.2;0.2
2015;1;0;0;1.4;0.2;0.2;0;0;0;0.2;0.2;0.2;0.2;2.4;0.2;0;0;0;0;0.4;0.8;0;2;0;0;0;0;9.4;9.6;0.2;0.2;0
