;;Lluvia (mm);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Año;Mes;Día 1;Día 2;Día 3;Día 4;Día 5;Día 6;Día 7;Día 8;Día 9;Día 10;Día 11;Día 12;Día 13;Día 14;Día 15;Día 16;Día 17;Día 18;Día 19;Día 20;Día 21;Día 22;Día 23;Día 24;Día 25;Día 26;Día 27;Día 28;Día 29;Día 30;Día 31
2010;4;0.3;1.5;0.3;0;0;1.3;0;0;3.6;4.1;20.6;1.3;0.8;0;2;2.5;1.3;0;0;0;0;0;2.8;0;0.3;2.8;0;4.3;8.6;7.4;-
2010;5;0.8;6.4;8.9;1.5;0.3;2.5;0.3;0.3;2.8;12.5;10.4;1.3;1;5.8;0.3;1;0.3;0;0;7.6;4.6;3.8;47;2;0;7.1;1;0;0;1.3;0
2010;6;1.3;1.8;4.1;0;4.3;46.5;0.3;7.6;17.8;3.1;1;9.7;13.5;61;31;25.1;2;9.1;7.6;31.2;6.1;0.8;0.3;0;3.8;0.3;11.7;14.7;7.4;0;-
2010;7;0;14.7;2.8;15;0;3.8;11.7;0.8;0;18.3;8.6;8.9;4.1;4.1;6.3;9.1;0;7.4;35.1;21.8;0;0;0;0;0;0;6.9;0;1.3;0.3;2.5
2010;8;3.1;2.3;0;0;10.7;25.7;9.4;0.3;10.7;0;8.1;47.3;0.3;22.1;5.1;4.8;6.9;8.4;13.7;22.6;29.7;16.5;0.3;4.6;3.6;24.9;12.4;32.5;1.3;0;6.4
2010;9;11.2;11.4;0;14.7;6.1;6.1;4.3;0;1;0.5;22.9;5.1;37.3;8.4;11.2;0.3;0.5;14.5;25.1;35.8;2.8;23.6;6.1;4.1;0;1.3;7.1;5.8;1;45.5;-
2010;10;7.6;17.3;3.3;0.3;0.5;4.3;4.6;10.2;6.6;0.3;0.3;13.2;0.3;6.1;16.8;2;3.3;1;1;2.3;13.5;9.1;7.1;2;0;0.3;0;0;2.8;0.5;31.7
2010;11;5.1;81.8;34.5;19;43.4;6.1;19.8;2.3;1.3;3.5;0.8;1.8;8.1;2.8;0;0;0;0;1.3;3.8;20.6;15.5;22.4;0.8;1;13.7;10.1;1;5.3;20.3;-
2010;12;59.2;18;0.3;0.3;0;3;6.1;0.3;10.6;4;2;2.5;7.4;4.3;0.3;1.3;0;0;3;2.8;0.3;1.3;2.3;6.3;12.2;26.7;17.3;4.8;7.3;22.1;1
2011;1;0;39.9;5.6;2;3.5;0;2.3;0;0;8.9;45;48.8;13.2;25.2;12.4;0.3;0.3;0;0;0;0;0;0;0.3;0;0;0;2.3;5.1;0;0
2011;2;5.8;0;0;0;0;0;0;0;0;0;0;0;0.8;0;0.8;0;0;0;0;0;0;0;0;0;0;0;0;1.3;-;-;-
2011;3;1.5;0;1;0;0;0;0;0;0;0;0.3;0;0.3;0;0.3;0;10.9;9.4;2;0.3;0.3;1.3;0.8;0.3;0;0;0;0;0;0;0
2011;4;0;0;0;0;2.5;2;0.5;2.8;5.8;0.8;0.3;0;0;0;0;0;0;0.8;0.3;0;0;0;0;0;0;0.8;31.2;0.3;0;0;-
2011;5;1.5;0.8;9.9;5.3;27.9;6.8;3;32.3;4.1;5.1;4.3;16.8;2.8;0.3;0;0;0;0;0;0;0;22.6;0.8;0.5;0;14;0;12.7;1.3;3.3;48.8
2011;6;2.5;2;6.1;6.1;35.8;0;0;0;0;0;1;0;0;8.4;16;20.6;0.8;2.3;0.3;0.5;0.3;0.5;0.5;23.1;1.5;1;0;0;9.7;10.9;-
2011;7;41.1;3.6;4.1;1;0;1;0;0;0;0;16.5;6.9;25.7;21.1;16.8;14.2;19.3;0.8;0;0;14.5;2.3;7.4;0.3;0;0.3;0;4.3;3;24.9;12.7
2011;8;0.8;0.3;0;0;1.3;0;2;0;0;0;0;3.3;6.6;5.1;9.9;0;0.5;3.6;0.5;2.3;0;6.1;11.9;3.6;33.8;30.2;0;22.6;3.1;0;0
2011;9;0.5;32.5;22.4;2.5;3.8;0.3;1.3;3.1;0;0;0;18;0;0;1;1.3;23.1;9.6;7.6;2.5;0;0;9.1;8.9;2;2.8;0;0;0;8.4;-
2011;10;3.8;25.6;0.5;1.8;2.3;0;0.3;13.2;1.5;16.3;16.8;49.3;5.1;16.5;4.1;15.5;10.2;7.1;6.1;16.8;47.2;1.8;14.2;4.6;0.5;4.8;27.9;10.2;0;13.4;23.6
2011;11;2;0.8;6.1;4.3;0.8;0;1;0.5;8.1;23.6;0;23.6;4.6;1.5;5.8;10.7;0;0.5;0;0;6.1;3.1;6.1;19.8;41.2;14.2;5.8;5.6;3.8;1.8;-
2011;12;3.5;12.9;1.8;1;2;1;4.6;3;0;2.8;35.3;41.9;20.6;10.4;4.3;0;16;1.8;0.3;3.8;0.8;0.5;28.2;32;5.6;1.8;0;1;0;0;2
2012;1;5.1;0.8;3;11.4;2.8;14.2;0;0;0;0;0;0;3;1;18.5;6.4;0.5;0;0.5;0;0;0;0;0;0;0.8;0.8;0;10.2;0.5;1.3
2012;2;1;0;0;0.3;3.8;0;2;54.1;0.5;0;0.8;0;0;0;0;0;0;0;0.3;3.3;0;0;0;0;3.6;13.7;0.3;8.1;5.6;-;-
2012;3;0;0;0;8.1;70.6;50.5;16.5;0.3;0;2;1.3;0.5;1.3;7.9;7.1;9.2;5.6;0.8;0;0;0;0;0;0;0;0;0.5;8.1;0.5;0;0
