;;Lluvia (mm);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Año;Mes;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
2008;1;3.8;26.9;34.6;3.8;0.6;0.2;0.1;0;0.1;0;0;0;0;0;0;0;0;0;0.9;0;0;0;1.2;6.5;0.1;8.2;3.5;0.1;0;0;0.2
2008;2;0;0;0;0;0;0;0;0;0;0.2;0.3;0.4;0.1;4.2;0.2;0.1;0;0;0.1;0;0;0;0;0;0;0;0.1;0.1;0;np.nan;np.nan
2008;3;0;0;0;0;0.8;6.2;2.4;0;0;0;0;0;0;0;0;0;0;0;2.2;12.1;0.2;0;0.2;0.1;0;0;0;0;0;0;0
2008;4;0;0;0;0.4;4.2;0;0;1.5;2;0.2;0;0.2;0;0.6;0;3;4.1;0.2;2.2;2.1;0;0;0;0.1;0;0;0;0;1.1;2.4;np.nan
2008;5;0.2;0;0.3;0;0;0;0;1.2;3.4;9.5;0.3;0;0;0;0;0;0;16.5;0;30.5;31.7;40.7;8.3;8.2;52.6;16.4;17.8;21.2;44.4;7;1.1
2008;6;2.7;1.2;21.2;2.1;5.4;8.2;7.4;6.4;12.2;4.2;0.4;10.5;14.2;0.3;1.1;0.6;0.2;0;0;0.5;5.5;0.3;0;0.6;0;0;8;0.3;0.1;1.1;np.nan
2008;7;2.2;0.1;2.3;0.5;4.2;5.2;0.7;1.1;8;7.1;0.9;0.1;9.9;0.1;0.1;2.2;12.2;5.9;11.6;7;0.2;1.2;12.7;5.6;2.2;8.1;0.7;0.5;14.3;8.2;2.2
2008;8;1.1;0.2;1.5;6.7;7.2;12.6;4.2;11.6;17.2;0;3.7;43.6;0.1;0;4.8;14.4;28.1;19.2;10;0.2;2.8;3.5;1.7;19.8;16.9;1.1;12.1;21.6;18.5;21.2;8.2
2008;9;11.4;3.4;7.7;11.2;8.1;7.2;0;2.7;6.6;2;0.6;0;8.3;22.7;1.2;4.6;10.7;12.6;2.7;0.8;11.3;10.8;22.2;19.1;7.2;14.2;10.7;14.2;26.2;0.5;np.nan
2008;10;22.6;60.1;11.2;10.2;12.4;6.7;32.6;40.2;0.2;7.1;10.2;75.2;2.1;12.7;27.3;26.6;10.2;5.1;0.2;1.5;36.5;0.8;0.9;0;0.2;3.8;2.1;0.1;8.2;22.1;0.6
2008;11;8.6;27.6;1.5;0.7;8.2;16.1;7.3;0.4;2.1;3.2;2.1;1.4;0.1;0.6;1.2;3.6;13.6;14.1;18.7;26.1;12.3;28.6;11.6;4.4;17.7;14.6;2.8;0.2;0.2;15.8;np.nan
2008;12;0.1;22.2;9.1;3;0.3;0.2;1.6;0.7;0.2;0.7;0.1;9.8;11.2;6.8;0.2;7.8;10;4.8;3.5;0.1;0;0;3.3;2.6;8.1;4.1;0.1;0.6;0.1;1;0.2
2009;1;0;0;0;7.1;2.7;0.1;2.5;0.2;0.3;0;0.1;0.1;0;0;1.1;0.6;0;0.1;0;5.6;3.7;4.1;0.4;4.7;7.4;1.5;0.1;0.2;0.8;0;0.8
2009;2;0;0.4;6.2;13.4;1.2;3.9;10.8;10.6;0;0;0;0.3;0;0;0;1.3;0;1.2;0.2;9.9;2.2;1.7;1.6;0;3;0.1;0;0.2;np.nan;np.nan;np.nan
2009;3;1.1;2.4;4;0.5;18.6;2;0;2.8;1.7;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0.4
2009;4;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.1;2.9;0;0;0;2.2;0;0;0;0.5;np.nan
2009;5;0;0.4;7.3;2.1;3.3;0;0;0;0.5;1.8;0.4;11.6;1.2;0.7;0;0.5;1.2;21.1;6.6;0.2;0.7;0;9.9;0;2.6;7.2;3.1;20.6;0;10.2;0.3
2009;6;0;0;0;2;50.5;6;5.6;0;0;1.2;10.9;0;22.5;4.8;0;0;0.3;22.7;3.8;15.7;24.5;20.4;2.2;20.3;20.5;0;20.7;8.8;12.3;0;np.nan
2009;7;0;3.3;20.3;0.1;8.6;3;0;0;0;6;0;0;6.9;0;2;6;20.7;7.4;4.2;0;3.4;0;0;0;1;18.4;0;0;0;9.7;0.5
2009;8;3.1;1.7;4.2;11.7;0.3;3.1;0;5.9;4.6;0.9;0;0;12.9;1.9;13.6;5.7;0.6;0;14.4;4.3;0.7;0;0;0;0.1;0;0.2;1.6;0;4.2;1.4
2009;9;0;0.2;0.2;0.1;0.4;1.9;0;0.2;0;0.6;12.2;0.1;0;0;0;0;0;0;4.4;0;0;0;0;7.9;0.1;1.6;0.7;5.8;0;0;np.nan
2009;10;0.2;1;0;1;63.4;0.5;4.8;4.9;1.1;3.8;11;0.2;0;4.5;0.1;0;0;0.8;0.6;29.2;2.2;0.1;63.6;21;0.3;0.2;1.8;0;20.2;12.8;0.1
2009;11;12.1;31.3;4;52.7;3.7;0;8.3;0;0.6;1.1;0;19.1;2.9;5.6;1.2;5;2.1;3.1;2.2;1.7;0.1;7.8;0.5;1.3;3;0.1;0.7;1.3;0;1.8;np.nan
2009;12;0.1;0.5;4.6;2.9;1.1;0;0;0;0.1;2.3;0.3;3.7;8.4;1.5;0.2;0.3;0;0;0.5;0.1;5.8;0.2;0.4;6.2;0.3;0.1;0.2;9.1;1.1;0.2;0.4
2010;1;0;2.1;7.1;2.8;1.1;0.8;2.3;8.2;0.6;11.2;4.1;3.2;3.2;2.2;0;0.1;0;0;0;0;0;0;0;0;0.3;0;0;1.3;0;0;0
2010;2;0;0;0;0;0;0;0.2;1.1;0;0;0;0;0.3;0;0;1.1;3.1;17.8;0;0;0;0;0;3.2;16.6;0.2;0;2.1;np.nan;np.nan;np.nan
