;;Lluvia (mm);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Año;Mes;Día 1;Día 2;Día 3;Día 4;Día 5;Día 6;Día 7;Día 8;Día 9;Día 10;Día 11;Día 12;Día 13;Día 14;Día 15;Día 16;Día 17;Día 18;Día 19;Día 20;Día 21;Día 22;Día 23;Día 24;Día 25;Día 26;Día 27;Día 28;Día 29;Día 30;Día 31
2013;11;0.6;8.6;0.2;0.2;0.8;0;1.4;24.2;8.4;0.4;0.4;6;0;0;0;0;0.2;0.8;0;0;0;0;0.4;0;0;0;0.2;54.6;1.2;16.8;-
2013;12;2.6;0;0;0;0;0.2;0;0;0;0;0;2.6;0;0;2.4;0.2;0.8;1.4;1.8;0;0;0;0;0;0;0;0;0;0;0;0
2014;1;1.2;0.2;0;0;0;0;0.2;0;2.6;0.2;0;0.2;0;0;0;2;2;0.2;4;1.6;1.2;0.8;0.4;0;1.6;0;0;0;0;0;0.8
2014;2;0;0;0;0.2;0;0;0;1.4;2.8;1.4;0.2;0;0;0;0;1;0;0;0;0;0;0;0;0.2;0;0;0;1.2;-;-;-
2014;3;0.2;1.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;1.1;0;0;0;0;0;0;0;0;0;0
2014;4;0;0;0;0;0;0;0;0;1.6;5.2;2.6;0;0;0;0.6;0;0;0;0;0.8;0.6;0;0;0;0;5.6;0.8;0;0.8;0;-
2014;5;0;0;0;0;0;0.6;12.6;5.2;0;40.6;1.4;0.4;0.2;0;0;0.2;0;0;0;0;0;0;0.2;0.2;0.8;0.6;0;5.4;0;7.2;11
2014;6;0.2;0.2;0;31.2;8.4;15.4;1.4;0.2;4.6;0;0;1;4.4;0;1;0.2;11.4;0;12;1.2;1;0.4;13.2;13;19.4;19;1;0;0.8;6.4;-
2014;7;1.6;1.2;0;0.4;0;4;0;0.8;13.6;14.2;19;30.2;12;0.6;1.2;0.6;15.2;0;3.6;1;2.6;1;6;7.6;1.6;0.4;4.8;2;0.4;16.8;1
2014;8;3.2;3;2.2;10.2;0;0.8;0.2;8.2;0;0;0.8;0;0;0.4;6;0;7.8;15.6;4.6;13.8;0;0.4;20.8;0.2;0;0;9.8;27.8;17.8;1.4;0.2
2014;9;0.6;1.6;8;0;25.8;6.8;0;0;0;2.6;70.4;2.6;1.4;1.6;3.8;0.8;30.8;3.4;4.8;0.4;6.8;0.8;13.6;18.6;46.8;32;0;33.8;28.6;0.2;-
2014;10;0;7.4;7.2;0;2.2;0;11;6.2;5.4;11.6;14.2;3.8;22.2;32.8;1.2;19;5.6;47.8;34;1;23.4;0;8.8;0.2;12.8;6.4;0.4;0;0;3.8;0.6
2014;11;22.6;4.2;15;4.4;1.6;11;1;0.6;0.6;0;0.4;0;0.2;3.4;0;0;0.2;0.2;0;0.6;0.4;0;0;0;16.6;2.6;22.8;17.2;6.4;0.6;-
2014;12;1.2;7;5.2;5;3.8;7.4;4.8;5.6;4;1;7.4;19.6;19;11;2.6;2.4;3.6;0;-;-;-;-;-;-;-;-;-;-;-;-;-
2015;1;-;-;-;-;-;-;-;1.8;0.2;0.2;2.4;0;0.2;0.2;0;3.6;0.2;0.8;4.8;9;0;0;0;0;0;0;7.2;8.4;7.2;0;0
2015;2;0;0;1.4;2.4;0;4.4;0.2;0;0;0.2;0;0.4;3.6;1;4.4;3.8;0;0;0;5.4;7.2;0;0.4;0;0;0;0;0.2;-;-;-
2015;3;2.6;0.6;0;0;0;0;3.8;5.6;0;0.6;0;0;0;0.2;0;0.2;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2015;4;0;0;0;0;1.4;0;1;0;0;0.6;0;0;2.2;1;0;0.6;0;0;0.8;0.2;0.2;0;2.8;0;0;0;0;0;0;1.4;-
2015;5;1.2;0.2;0;4.8;2.8;0;0.4;0.4;0;0;2.2;3.4;4;4.4;1.8;20.4;0.8;0;3.4;1.2;0.4;0.6;2.8;23.6;3.8;0.6;2.2;0;0;10.6;0.4
2015;6;0;0;73.4;1.2;3.8;0.8;14;0.4;8;24.6;0;11.2;0;0;0.2;4.4;12.2;0.2;3.6;11.4;26.2;21;1.6;0.6;15;21.6;31.8;8.4;0.6;0;-
2015;7;0.2;0;18.4;2.4;4.6;32.2;22.4;5.4;6;14.4;5;7.8;0.6;5.8;0;0;7.2;35.2;6.4;0;0;0.2;4.6;1.6;0.8;1.4;1;2;2.4;1;0
2015;8;0;0;0.2;2.2;2;1.6;0.4;0;0;0;6.2;0.2;0;4;1.8;1;0;1;3.4;0;3.4;1;0.4;1.6;0;0;0;0;0.2;0;0
2015;9;8.2;0.4;1;1.8;0;2.6;0;5.8;2.8;32;0;1.4;0.2;0;0;0;3;2.6;30.4;0.8;1.8;4.2;9.8;3;16.6;2.6;19.2;0;0;1;-
2015;10;16.6;37.4;0.6;0.2;1.4;3.4;1.4;0.4;0;0.8;8.6;19.6;13;1.4;28;2.4;0;4;0.2;1;0;0;1;3;0.4;4.4;12;0.2;0;0;0
2015;11;0;0;0;5.4;19.4;0;0;0.2;0;27.8;7.4;0.2;0;0;5.6;35.6;20.4;11.4;5.2;13.6;6.8;7.8;0.4;0;5.8;2.6;0;0;8.8;1.4;-
2015;12;0.6;1;0.6;2;4;16.8;0;0;1.2;0.2;0.8;0;0;0;0;0;0;0;9;34.8;9.6;1;0;2;1.6;6.8;0;0.2;0.2;2.2;16.8
2016;1;15.2;0;0;2.2;1.6;0.6;1.8;0;2;0;1.6;0;2.6;1.6;0;3.6;0;2;1.4;4.8;1.6;0;10.6;7.2;0.8;0.2;0.2;1.6;0.2;4.2;0.2
2016;2;1;2.2;2;0.4;0.4;4.4;0.2;3;4.2;5;8.2;4.6;0;0;0;1.8;1.4;10.4;4.6;1.8;0.2;0.8;1.4;0.2;1.8;4.2;2;1.2;0.8;-;-
2016;3;0.8;0.2;0.6;0;0;0;0;0;2.2;0.2;1.6;0.2;0.2;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8
2016;4;1.4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0.4;0.2;0;1.4;0;0;0;5.8;26.8;0.2;3.2;31.8;-
2016;5;0;0;10.8;16.4;5.2;11.4;0.2;0;0;0;0;0.6;0.4;4.4;0;6;0.2;1.2;0;0;0.4;0.4;13;0;2.4;9.4;23;7.4;1;11.4;39
2016;6;1.6;15.4;3;22;16.6;0.6;0;18.6;0.2;4.8;3.2;0;0.4;1.6;0.2;0;1.4;24.4;0;12.4;20.6;2.8;14.6;3.2;2.6;0;0;1.2;5.2;4.6;-
2016;7;1;12.8;0;0.8;0;15.2;5.6;4.4;0.8;9.4;5.6;0.4;1.8;0;0;2.8;0;2.6;8.4;0.2;0;1.2;6;0;0;0.6;0.2;0.4;0;0;0
