;;Lluvia (mm);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Año;Mes;Día 1;Día 2;Día 3;Día 4;Día 5;Día 6;Día 7;Día 8;Día 9;Día 10;Día 11;Día 12;Día 13;Día 14;Día 15;Día 16;Día 17;Día 18;Día 19;Día 20;Día 21;Día 22;Día 23;Día 24;Día 25;Día 26;Día 27;Día 28;Día 29;Día 30;Día 31
2010;1;0;2.4;0.3;0;0.6;0.5;0;0;0;0.5;0.7;0;0.1;0;0;0;0;0;0.4;0;0;0;0;0;0.5;0;0;0.1;1.9;0.1;0
2010;2;0.3;0.4;0;0;0;0;0.6;9.6;0.1;0.1;0;0.1;0.1;2.6;0.2;0.6;18;18.4;10.8;0;0;0;10.9;2.8;84.8;0.5;0.5;5.3;-;-;-
2010;3;0.7;0;3.3;3.8;1.7;0;0;0;0;0;0;0;0;0.1;0;0;0;0.4;4.9;0.3;32.8;29.8;3.8;0;0;0;0;0;0;0;11.1
2010;4;0.1;4.8;0.1;0;0;0.5;0.2;0.2;1.6;3.2;12.8;2.8;6.7;0.1;3;1.2;2.2;0.8;0.2;0;0;0.2;10.5;0;0.6;1.2;1.4;5.2;14.9;15.8;-
2010;5;0;1;1.3;0.5;3.6;0.2;0.7;0.1;0.2;3.4;9;0.7;0.8;11.1;0.2;3.9;2.5;0.3;0.1;9.1;1.2;12.7;28;16.4;1.1;16.8;0;0.1;0.4;0;0
2010;6;3.9;1.4;5.9;0;0.7;16.5;0.6;5.5;2.1;7;0.2;26.3;25.8;45.8;13.9;19.6;1.7;10.6;9.4;21.1;7.2;0.2;0.3;0.1;20.8;0.1;28.7;5.1;13.1;0;-
2010;7;0;17.3;1.8;6.5;0;13;16.6;1.3;0.2;0.4;7.5;22.2;4.5;5.5;18.3;11.8;0.3;9.2;3.7;25.1;0.2;0;0;0;0;0.1;9.8;0.1;5.6;1;3
2010;8;5.1;1.7;0;0.1;5.1;19.3;9.5;0.7;11.4;0.1;1.8;1.2;4.4;13.6;2.6;2.8;20.5;9.1;11.2;58.9;22.4;18.3;3.7;7.8;0.9;26.3;19.8;36.2;1.4;0.3;0.1
2010;9;27;16.8;25.1;14.4;3.8;9.6;16.6;0.2;1.4;1.1;6.9;9.9;27.9;10;7.5;1.3;0.2;32.5;33.2;17.7;9.7;8.4;9.7;9.5;6.2;5.5;14;25.7;3.1;37.5;-
2010;10;31.9;19.6;1;2.5;0.3;0;3.2;6.1;2.2;0;0.1;5.6;0.6;11;42.7;3.6;0.2;15.6;0.4;1.6;14.9;9.6;7.2;7;0.4;0.6;0.3;1.4;11.3;3.8;2
2010;11;26.5;30.3;49.6;13.1;24.8;10;0.9;0.1;1.9;4.8;1.3;2.7;7.8;1.7;0;0.9;0.2;0.1;1;1.8;35.4;14.3;15.3;0.4;1;0.3;28;1.3;10.8;51.5;-
2010;12;83.4;37.1;0.9;0.2;0.1;8.9;10.1;0.1;7.7;1.5;0.4;0;12.2;1.9;0.1;0.1;0;0;0.3;6.8;0.2;0;0.3;15;8.2;37.2;11.2;12.9;7.4;13.3;0.2
2011;1;1.5;18.4;1.1;1.3;3.5;0.1;0.1;0.1;0.2;7.7;13.9;16.8;6.9;44.3;31.9;0.1;0.7;0.1;0;0;0;0;0;0;0;0.1;0;1.1;0.3;0.1;0
2011;2;2.2;0;0;1.3;0.5;0;0;0;0.2;0;0;0.6;4;13.3;9.8;0.2;0.5;1.2;0;0.7;0;0;0;0;0.8;0.1;3.5;11.3;-;-;-
2011;3;19.9;0.9;0.5;0;0;0;0;0;0;0.1;0.1;0.2;0.2;0.1;0;0;3.6;1.1;0.4;0.1;0.1;0.5;0.2;0.1;0;0;0;0;0;0;0
2011;4;0;0;0;0;2.2;0.1;3.4;5.4;8.8;0.5;0.8;0.1;0;0;0.1;0;0;0;0.2;0.1;0.1;0;0;1;0;0.1;15.6;0.3;0;0;-
2011;5;0.2;4.3;0.4;2.5;29;8;1.7;43.5;0.2;5.3;2.1;19.6;7.5;2.6;1.5;0.1;0;0;0;0;0;17.2;1.1;1.1;0;9.7;0.1;19.6;4.2;3.2;14.4
2011;6;6.1;4.5;7.5;5;10;2.8;0;0;0;0.1;2.7;0.6;1.2;1.1;10;28.9;0.5;7.8;0.2;0.6;0.4;0.3;3.9;17.5;4.7;1.4;0;0;0.6;19.7;-
2011;7;17;3.3;3.9;4.8;0.2;0.5;0.1;0.3;0.2;0.2;37;9.8;20.6;18.3;20.9;13.7;21.7;1.4;0.1;0.5;5.1;3.7;8;1.4;0.5;0.1;0;3.3;5.1;14.3;11.2
2011;8;0.5;0.4;0.3;0;0.5;1.3;0.5;0.1;0;0.3;0.2;0.4;5.5;6.7;18.1;0.2;0.4;0;0.1;0.4;0.2;0.1;13.4;12.4;22.2;6.1;0.2;23.6;8.3;3.4;0.1
2011;9;0.2;24.9;15.6;8.2;0.8;0.1;3.6;1.8;0;0.4;1.3;27.7;0;0;0;1.3;7;16.3;5.5;13.4;0.2;0.1;0.8;0;1.7;15;2.6;0;0.1;1.8;-
2011;10;12.4;25.9;0.4;0.7;1.1;1;2;11.9;4.9;14.9;31.4;50.5;7.1;28.2;4.6;41.3;27.7;17.2;3.5;44.8;97.2;6.7;5.7;0.3;0.2;10.7;28.9;22.1;7;22.1;15.7
2011;11;1.2;0.5;3.8;12.6;0.3;1.9;1.4;0.2;1.4;17.3;0;33.7;8;2.3;0.2;15.9;0.2;0.2;2.4;0.2;8;1.4;22.6;74.5;73;13;10.6;13.3;4.6;13.1;-
2011;12;17.3;10;4.7;0.1;1.7;0.6;5.2;1.3;0.2;8.2;59.2;64.7;43.3;6.8;9.8;0.4;38.3;0.7;0.1;1.7;0.9;1.7;6.3;10.8;2.1;0.4;0;0.6;0.1;0;1.2
2012;1;1.2;0.1;0.3;12.7;33.7;27;0;0;0;0;0;0;0.2;0.6;4.4;3.4;0.6;0.1;0;0.2;0;0;0;0;0.2;2.3;0.2;0;3.3;1.1;0.2
2012;2;0;0;0;0;4.6;0;0.3;7.8;0.5;0;0;0;0;0;0;0;0;0;0;0.8;0;0;0;0;1;5.3;0;2.3;2.8;-;-
2012;3;0.3;0;0;1.3;37.4;14.7;7.9;1.3;0;0;0.3;0.3;0;3;2.3;0.8;1.5;1;0;0;1;0.5;0;0;0;0;0;5.1;0;0;0
2012;4;0;0.8;1;0.3;0;0.3;0;0.3;0;1;0;0;0;0;0;6.9;41.2;11.9;10.9;1.3;17.8;0;7.1;1.5;0.3;0;3.3;0.3;1.5;0.3;-
2012;5;1.3;0.3;0;11.4;0;0;8.7;0.5;0;0.3;0.5;0.5;1.3;1.5;24.4;0;0;0;0;17.3;9.9;24.1;1;1.8;0.3;5.6;0.3;0.5;8.6;1.8;20.3
